id,store_name,日付,機種,台番,差枚,G数,BB,RB,合成,updated_at
753445,三ノ輪UNO,2025-05-10,L麻雀物語,816,16800,8988,0,0,-,2025-12-26 09:18:12
753446,三ノ輪UNO,2025-05-10,スマスロ バイオハザード5,769,11910,7346,0,0,-,2025-12-26 09:18:12
753447,三ノ輪UNO,2025-05-10,Lパチスロ 機動戦士ガンダムSEED,849,11530,8870,0,0,-,2025-12-26 09:18:12
753448,三ノ輪UNO,2025-05-10,L東京喰種,639,9560,9158,0,0,-,2025-12-26 09:18:12
753449,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,731,8850,7033,111,13,1/57,2025-12-26 09:18:12
753450,三ノ輪UNO,2025-05-10,L東京喰種,631,8360,7423,0,0,-,2025-12-26 09:18:12
753451,三ノ輪UNO,2025-05-10,Lうしおととら 白面決戦,819,8300,8110,0,0,-,2025-12-26 09:18:12
753452,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,646,7950,8326,0,0,-,2025-12-26 09:18:12
753453,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,665,7740,6702,0,0,-,2025-12-26 09:18:12
753454,三ノ輪UNO,2025-05-10,スマスロ バイオハザード5,768,7190,7560,0,0,-,2025-12-26 09:18:12
753455,三ノ輪UNO,2025-05-10,Lパチスロ 機動戦士ガンダムSEED,851,7120,8373,0,0,-,2025-12-26 09:18:12
753456,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,685,6900,7627,0,0,-,2025-12-26 09:18:12
753457,三ノ輪UNO,2025-05-10,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,803,6840,8421,0,0,-,2025-12-26 09:18:12
753458,三ノ輪UNO,2025-05-10,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,802,6220,8005,0,0,-,2025-12-26 09:18:12
753459,三ノ輪UNO,2025-05-10,吉宗,786,6180,9361,0,0,-,2025-12-26 09:18:12
753460,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,735,5990,5792,90,7,1/60,2025-12-26 09:18:12
753461,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,714,5970,8235,0,0,-,2025-12-26 09:18:12
753462,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,672,5930,6094,0,0,-,2025-12-26 09:18:12
753463,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,812,5910,7879,94,15,1/72,2025-12-26 09:18:12
753464,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,722,5630,7432,0,0,-,2025-12-26 09:18:12
753465,三ノ輪UNO,2025-05-10,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,793,5600,7849,0,0,-,2025-12-26 09:18:12
753466,三ノ輪UNO,2025-05-10,スマスロ シャーマンキング,625,5530,3449,0,0,-,2025-12-26 09:18:12
753467,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,757,5510,9191,0,0,-,2025-12-26 09:18:12
753468,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,810,5500,5480,78,8,1/64,2025-12-26 09:18:12
753469,三ノ輪UNO,2025-05-10,回胴黙示録カイジ 狂宴,825,5420,8102,0,0,-,2025-12-26 09:18:12
753470,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,713,5400,7504,0,0,-,2025-12-26 09:18:12
753471,三ノ輪UNO,2025-05-10,スマスロ バイオハザード5,765,5060,7941,0,0,-,2025-12-26 09:18:12
753472,三ノ輪UNO,2025-05-10,L麻雀物語,815,5020,8506,0,0,-,2025-12-26 09:18:12
753473,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,692,4960,4391,0,0,-,2025-12-26 09:18:12
753474,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,682,4940,6007,0,0,-,2025-12-26 09:18:12
753475,三ノ輪UNO,2025-05-10,スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,801,4900,7133,0,0,-,2025-12-26 09:18:12
753476,三ノ輪UNO,2025-05-10,L戦国乙女４　戦乱に閃く炯眼の軍師,837,4670,7127,0,0,-,2025-12-26 09:18:12
753477,三ノ輪UNO,2025-05-10,L戦国乙女４　戦乱に閃く炯眼の軍師,841,4650,8323,0,0,-,2025-12-26 09:18:12
753478,三ノ輪UNO,2025-05-10,マイジャグラーV,541,4510,6275,40,23,1/100,2025-12-26 09:18:12
753479,三ノ輪UNO,2025-05-10,パチスロ　甲鉄城のカバネリ,603,4260,7384,0,0,-,2025-12-26 09:18:12
753480,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,748,3860,6429,0,0,-,2025-12-26 09:18:12
753481,三ノ輪UNO,2025-05-10,スマスロ スーパーブラックジャック,824,3670,10079,0,0,-,2025-12-26 09:18:12
753482,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,661,3460,9143,0,0,-,2025-12-26 09:18:12
753483,三ノ輪UNO,2025-05-10,Lパチスロ 機動戦士ガンダムSEED,844,3450,8722,0,0,-,2025-12-26 09:18:12
753484,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,689,3170,6506,0,0,-,2025-12-26 09:18:12
753485,三ノ輪UNO,2025-05-10,A-SLOT+ ディスクアップ ULTRAREMIX,618,3110,5615,25,10,1/160,2025-12-26 09:18:12
753486,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,666,3100,7276,0,0,-,2025-12-26 09:18:12
753487,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,712,3030,4246,0,0,-,2025-12-26 09:18:12
753488,三ノ輪UNO,2025-05-10,L東京喰種,629,2980,8757,0,0,-,2025-12-26 09:18:12
753489,三ノ輪UNO,2025-05-10,マイジャグラーV,525,2960,8495,44,25,1/123,2025-12-26 09:18:12
753490,三ノ輪UNO,2025-05-10,パチスロハイパーラッシュ,616,2850,2124,0,0,-,2025-12-26 09:18:12
753491,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,719,2690,8614,0,0,-,2025-12-26 09:18:12
753492,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,705,2660,4314,0,0,-,2025-12-26 09:18:12
753493,三ノ輪UNO,2025-05-10,Lうしおととら 白面決戦,820,2650,8662,0,0,-,2025-12-26 09:18:12
753494,三ノ輪UNO,2025-05-10,バーサスリヴァイズ,611,2600,5492,0,0,-,2025-12-26 09:18:12
753495,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,676,2520,4240,0,0,-,2025-12-26 09:18:12
753496,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,716,2420,5401,0,0,-,2025-12-26 09:18:12
753497,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,752,2410,3711,0,0,-,2025-12-26 09:18:12
753498,三ノ輪UNO,2025-05-10,Lパチスロ炎炎ノ消防隊,785,2410,4566,0,0,-,2025-12-26 09:18:12
753499,三ノ輪UNO,2025-05-10,SアイムジャグラーＥＸ,585,2330,7488,36,24,1/125,2025-12-26 09:18:12
753500,三ノ輪UNO,2025-05-10,L東京喰種,630,2290,7808,0,0,-,2025-12-26 09:18:12
753501,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,654,2290,4060,0,0,-,2025-12-26 09:18:12
753502,三ノ輪UNO,2025-05-10,Lうしおととら 白面決戦,817,2260,6669,0,0,-,2025-12-26 09:18:12
753503,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,709,2260,4201,0,0,-,2025-12-26 09:18:12
753504,三ノ輪UNO,2025-05-10,ファンキージャグラー２ＫＴ,577,2260,4764,28,9,1/129,2025-12-26 09:18:12
753505,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,679,2200,7845,0,0,-,2025-12-26 09:18:12
753506,三ノ輪UNO,2025-05-10,L ToLOVEるダークネス,836,2190,6993,0,0,-,2025-12-26 09:18:12
753507,三ノ輪UNO,2025-05-10,マイジャグラーV,529,2180,7066,31,28,1/120,2025-12-26 09:18:12
753508,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,753,2170,8543,0,0,-,2025-12-26 09:18:12
753509,三ノ輪UNO,2025-05-10,L東京喰種,640,2150,8800,0,0,-,2025-12-26 09:18:12
753510,三ノ輪UNO,2025-05-10,マイジャグラーV,531,2030,6887,34,21,1/125,2025-12-26 09:18:12
753511,三ノ輪UNO,2025-05-10,L ToLOVEるダークネス,833,1950,4880,0,0,-,2025-12-26 09:18:12
753512,三ノ輪UNO,2025-05-10,マイジャグラーV,516,1920,4375,24,12,1/122,2025-12-26 09:18:12
753513,三ノ輪UNO,2025-05-10,スマスロ スーパーブラックジャック,822,1890,8713,0,0,-,2025-12-26 09:18:12
753514,三ノ輪UNO,2025-05-10,マイジャグラーV,520,1850,5837,27,23,1/117,2025-12-26 09:18:12
753515,三ノ輪UNO,2025-05-10,パチスロ　甲鉄城のカバネリ,607,1580,4010,0,0,-,2025-12-26 09:18:12
753516,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,807,1430,1219,17,2,1/64,2025-12-26 09:18:12
753517,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,738,1400,6852,0,0,-,2025-12-26 09:18:12
753518,三ノ輪UNO,2025-05-10,Lパチスロ炎炎ノ消防隊,782,1380,5028,0,0,-,2025-12-26 09:18:12
753519,三ノ輪UNO,2025-05-10,沖ドキ!ゴージャス 25Φ,599,1260,2312,0,0,-,2025-12-26 09:18:12
753520,三ノ輪UNO,2025-05-10,Lパチスロ かぐや様は告らせたい,686,1210,4730,0,0,-,2025-12-26 09:18:12
753521,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,711,1210,7842,0,0,-,2025-12-26 09:18:12
753522,三ノ輪UNO,2025-05-10,Lパチスロ 機動戦士ガンダムSEED,848,1170,8812,0,0,-,2025-12-26 09:18:12
753523,三ノ輪UNO,2025-05-10,Lパチスロ ありふれた職業で世界最強,779,1170,6830,0,0,-,2025-12-26 09:18:12
753524,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,694,1130,4665,0,0,-,2025-12-26 09:18:12
753525,三ノ輪UNO,2025-05-10,ジャグラーガールズSS,592,1120,4622,0,0,-,2025-12-26 09:18:12
753526,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,736,1050,3034,32,6,1/80,2025-12-26 09:18:12
753527,三ノ輪UNO,2025-05-10,ミスタージャグラー,579,960,7173,0,0,-,2025-12-26 09:18:12
753528,三ノ輪UNO,2025-05-10,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,798,950,4479,0,0,-,2025-12-26 09:18:12
753529,三ノ輪UNO,2025-05-10,ゴーゴージャグラー３,551,920,3989,20,8,1/142,2025-12-26 09:18:12
753530,三ノ輪UNO,2025-05-10,マイジャグラーV,544,920,6014,27,15,1/143,2025-12-26 09:18:12
753531,三ノ輪UNO,2025-05-10,マイジャグラーV,536,890,7630,32,22,1/141,2025-12-26 09:18:12
753532,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,570,890,5037,0,0,-,2025-12-26 09:18:12
753533,三ノ輪UNO,2025-05-10,SアイムジャグラーＥＸ,590,840,8073,29,40,1/117,2025-12-26 09:18:12
753534,三ノ輪UNO,2025-05-10,スマスロ ゴッドイーター リザレクション,721,770,9254,0,0,-,2025-12-26 09:18:12
753535,三ノ輪UNO,2025-05-10,沖ドキ!ゴージャス 25Φ,601,740,1158,0,0,-,2025-12-26 09:18:12
753536,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,563,740,6525,0,0,-,2025-12-26 09:18:12
753537,三ノ輪UNO,2025-05-10,マイジャグラーV,521,720,5373,22,18,1/134,2025-12-26 09:18:12
753538,三ノ輪UNO,2025-05-10,L麻雀物語,814,690,7442,0,0,-,2025-12-26 09:18:12
753539,三ノ輪UNO,2025-05-10,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,792,690,7193,0,0,-,2025-12-26 09:18:12
753540,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,565,640,6402,0,0,-,2025-12-26 09:18:12
753541,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,699,610,755,0,0,-,2025-12-26 09:18:12
753542,三ノ輪UNO,2025-05-10,ゴーゴージャグラー３,550,600,4829,23,11,1/142,2025-12-26 09:18:12
753543,三ノ輪UNO,2025-05-10,スマスロ スーパーブラックジャック,821,570,8270,0,0,-,2025-12-26 09:18:12
753544,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,566,480,2866,0,0,-,2025-12-26 09:18:12
753545,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,571,440,3631,0,0,-,2025-12-26 09:18:12
753546,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,701,430,6919,0,0,-,2025-12-26 09:18:12
753547,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,647,410,4588,0,0,-,2025-12-26 09:18:12
753548,三ノ輪UNO,2025-05-10,沖ドキ!ゴージャス 25Φ,602,360,2199,0,0,-,2025-12-26 09:18:12
753549,三ノ輪UNO,2025-05-10,Lパチスロからくりサーカス,703,330,5015,0,0,-,2025-12-26 09:18:12
753550,三ノ輪UNO,2025-05-10,ウルトラミラクルジャグラー,567,320,5632,0,0,-,2025-12-26 09:18:12
753551,三ノ輪UNO,2025-05-10,ファンキージャグラー２ＫＴ,575,290,6088,23,16,1/156,2025-12-26 09:18:12
753552,三ノ輪UNO,2025-05-10,マイジャグラーV,508,270,2228,11,2,1/171,2025-12-26 09:18:12
753553,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,727,260,4413,39,9,1/92,2025-12-26 09:18:12
753554,三ノ輪UNO,2025-05-10,SアイムジャグラーＥＸ,588,260,3775,14,13,1/140,2025-12-26 09:18:12
753555,三ノ輪UNO,2025-05-10,スマスロ モンスターハンターライズ,739,250,7597,0,0,-,2025-12-26 09:18:12
753556,三ノ輪UNO,2025-05-10,マイジャグラーV,539,230,4115,19,6,1/165,2025-12-26 09:18:12
753557,三ノ輪UNO,2025-05-10,マイジャグラーV,510,220,4892,19,10,1/169,2025-12-26 09:18:12
753558,三ノ輪UNO,2025-05-10,スマート沖スロ スターハナハナ,619,180,673,0,0,-,2025-12-26 09:18:12
753559,三ノ輪UNO,2025-05-10,マイジャグラーV,528,160,1609,7,3,1/161,2025-12-26 09:18:12
753560,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,737,150,7425,63,17,1/93,2025-12-26 09:18:12
753561,三ノ輪UNO,2025-05-10,パチスロ　甲鉄城のカバネリ,610,120,3333,0,0,-,2025-12-26 09:18:12
753562,三ノ輪UNO,2025-05-10,マイジャグラーV,535,50,4453,16,12,1/159,2025-12-26 09:18:12
753563,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,806,40,2308,23,2,1/92,2025-12-26 09:18:12
753564,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,643,40,6438,0,0,-,2025-12-26 09:18:12
753565,三ノ輪UNO,2025-05-10,ゴーゴージャグラー３,559,0,2440,10,5,1/163,2025-12-26 09:18:12
753566,三ノ輪UNO,2025-05-10,マイジャグラーV,501,0,2532,11,3,1/181,2025-12-26 09:18:12
753567,三ノ輪UNO,2025-05-10,回胴黙示録カイジ 狂宴,827,-10,8471,0,0,-,2025-12-26 09:18:12
753568,三ノ輪UNO,2025-05-10,ゴーゴージャグラー３,553,-10,5246,18,24,1/125,2025-12-26 09:18:12
753569,三ノ輪UNO,2025-05-10,マイジャグラーV,540,-30,1905,7,5,1/159,2025-12-26 09:18:12
753570,三ノ輪UNO,2025-05-10,Lパチスロ ありふれた職業で世界最強,781,-40,7066,0,0,-,2025-12-26 09:18:12
753571,三ノ輪UNO,2025-05-10,スマスロモンキーターンV,642,-40,1956,0,0,-,2025-12-26 09:18:12
753572,三ノ輪UNO,2025-05-10,マイジャグラーV,548,-60,6552,22,21,1/152,2025-12-26 09:18:12
753573,三ノ輪UNO,2025-05-10,マイジャグラーV,533,-70,5100,19,14,1/155,2025-12-26 09:18:12
753574,三ノ輪UNO,2025-05-10,マイジャグラーV,509,-80,7204,24,25,1/147,2025-12-26 09:18:12
753575,三ノ輪UNO,2025-05-10,回胴黙示録カイジ 狂宴,826,-90,9917,0,0,-,2025-12-26 09:18:12
753576,三ノ輪UNO,2025-05-10,吉宗,788,-90,8051,0,0,-,2025-12-26 09:18:12
753577,三ノ輪UNO,2025-05-10,マイジャグラーV,504,-90,4643,17,14,1/150,2025-12-26 09:18:12
753578,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,732,-100,949,9,2,1/86,2025-12-26 09:18:12
753579,三ノ輪UNO,2025-05-10,Lスマスロ北斗の拳,730,-110,1272,10,2,1/106,2025-12-26 09:18:12
753580,三ノ輪UNO,2025-05-10,ゴーゴージャグラー３,555,-130,5271,20,17,1/142,2025-12-26 09:18:12
